YEAR,HOMETEAM,Goals
1930,Paraguay,1
1930,Romania,3
1930,Brazil,4
1930,France,4
1930,Chile,4
1930,Yugoslavia,6
1930,USA,6
1930,Uruguay,15
1930,Argentina,16
1934,Sweden,3
1934,Switzerland,3
1934,Spain,3
1934,Hungary,4
1934,Austria,5
1934,Czechoslovakia,8
1934,Germany,10
1934,Italy,12
1938,France,3
1938,Czechoslovakia,3
1938,Switzerland,5
1938,Cuba,5
1938,Sweden,8
1938,Italy,11
1938,Hungary,13
1938,Brazil,13
1950,USA,1
1950,England,2
1950,Italy,2
1950,Switzerland,2
1950,Chile,5
1950,Spain,6
1950,Yugoslavia,7
1950,Sweden,8
1950,Uruguay,15
1950,Brazil,21
1954,Yugoslavia,1
1954,France,3
1954,Italy,4
1954,Switzerland,6
1954,England,6
1954,Brazil,6
1954,Turkey,7
1954,Uruguay,13
1954,Austria,16
1954,Germany FR,22
1954,Hungary,25
1958,Mexico,1
1958,England,2
1958,Wales,2
1958,Northern Ireland,3
1958,Argentina,4
1958,Yugoslavia,4
1958,Hungary,5
1958,Germany FR,5
1958,Soviet Union,5
1958,Paraguay,6
1958,Czechoslovakia,6
1958,Sweden,10
1958,Brazil,16
1958,France,19
1962,Argentina,1
1962,Spain,1
1962,Uruguay,2
1962,Mexico,3
1962,Italy,3
1962,England,3
1962,Germany FR,4
1962,Czechoslovakia,5
1962,Chile,8
1962,Soviet Union,8
1962,Hungary,8
1962,Yugoslavia,9
1962,Brazil,14
1966,France,1
1966,Brazil,2
1966,Italy,2
1966,Spain,2
1966,Korea DPR,2
1966,Uruguay,2
1966,Argentina,4
1966,Hungary,6
1966,Soviet Union,8
1966,England,11
1966,Germany FR,13
1966,Portugal,16
1970,Bulgaria,1
1970,England,2
1970,Sweden,2
1970,Romania,2
1970,Uruguay,3
1970,Belgium,3
1970,Mexico,5
1970,Peru,6
1970,Soviet Union,6
1970,Italy,9
1970,Germany FR,14
1970,Brazil,19
1974,Haiti,0
1974,Australia,0
1974,Uruguay,0
1974,Zaire,0
1974,Chile,1
1974,Brazil,1
1974,Scotland,1
1974,Bulgaria,2
1974,German DR,3
1974,Italy,3
1974,Sweden,5
1974,Germany FR,5
1974,Argentina,7
1974,Netherlands,7
1974,Poland,7
1974,Yugoslavia,9
1978,Sweden,1
1978,Spain,1
1978,France,3
1978,Tunisia,3
1978,Scotland,4
1978,Poland,5
1978,Austria,6
1978,Italy,7
1978,Peru,7
1978,Germany FR,8
1978,Brazil,9
1978,Netherlands,10
1978,Argentina,15
1982,Peru,0
1982,Chile,0
1982,Yugoslavia,0
1982,Czechoslovakia,1
1982,Northern Ireland,1
1982,Honduras,1
1982,Austria,2
1982,Belgium,2
1982,Spain,3
1982,Algeria,3
1982,Scotland,5
1982,Soviet Union,5
1982,England,6
1982,Argentina,7
1982,France,9
1982,Hungary,10
1982,Italy,10
1982,Brazil,10
1982,Poland,11
1982,Germany FR,11
1986,Canada,0
1986,Morocco,0
1986,Scotland,0
1986,Bulgaria,1
1986,Poland,1
1986,Algeria,1
1986,Italy,1
1986,Iraq,1
1986,Northern Ireland,1
1986,Belgium,1
1986,Spain,1
1986,Uruguay,1
1986,Portugal,2
1986,Germany FR,2
1986,Hungary,2
1986,Korea Republic,3
1986,Mexico,3
1986,Paraguay,3
1986,France,5
1986,England,6
1986,Brazil,6
1986,Denmark,9
1986,Soviet Union,11
1986,Argentina,13
1990,Soviet Union,0
1990,United Arab Emirates,0
1990,Uruguay,0
1990,Costa Rica,1
1990,Spain,1
1990,Republic of Ireland,1
1990,Netherlands,1
1990,Korea Republic,1
1990,USA,1
1990,Austria,2
1990,Sweden,2
1990,Argentina,3
1990,Czechoslovakia,4
1990,Brazil,4
1990,Cameroon,4
1990,Yugoslavia,5
1990,England,6
1990,Belgium,6
1990,Italy,10
1990,Germany FR,15
1994,Greece,0
1994,Switzerland,0
1994,Korea Republic,0
1994,Republic of Ireland,0
1994,Bolivia,1
1994,Morocco,1
1994,Norway,1
1994,Colombia,1
1994,Belgium,2
1994,Cameroon,2
1994,Mexico,3
1994,USA,3
1994,Saudi Arabia,3
1994,Nigeria,4
1994,Italy,4
1994,Spain,5
1994,Netherlands,6
